Name,Exercise type,BodyPart,Equipment,Gender,Target
3/4 Sit-up,Strength,Waist,Body weight,Male,
45 Side Bend,Strength,Waist,Body weight,Male,
Air bike,Strength,Waist,Body weight,Male,
Air Twisting Crunch,Strength,Waist,Body weight,Female,
Alternate Biceps Curl (with band),Strength,Upper Arms,Band,Female,
Alternate Heel Touchers,Strength,Waist,Body weight,Male,
Alternate Lateral Pulldown,Strength,Back,Cable,Male,
Alternate Lying Floor Leg Raise,Strength,Waist,Body weight,Female,
Assisted Chest Dip (kneeling),Strength,Chest,Leverage machine,Male,
Assisted Hanging Knee Raise With Throw Down,Strength,Waist,Assisted,Male,
